Sensor 1,Sensor 2,Sensor 3,Steering Angle
1.3988,1.2249,1.7394,-22
1.3993,1.2253,1.7396,-22
1.3992,1.2252,1.7395,-22
1.3983,1.2245,1.7389,-22
1.3962,1.2228,1.7374,-22
1.3891,1.2172,1.7323,-22
1.3844,1.2135,1.7289,-22
1.373,1.2046,1.7206,-22
1.3659,1.1991,1.7153,-22
1.3585,1.1934,1.7098,-22
1.3409,1.1802,1.6964,-22
1.32,1.1647,1.68,-22
1.32,1.1647,1.68,-22
1.2837,1.1392,1.6503,-22
1.2837,1.1392,1.6503,-22
1.9218,1.111,1.6126,0
1.9218,1.111,1.6126,0
1.8671,1.0762,1.5746,0
1.8671,1.0762,1.5746,0
1.8041,1.0359,1.537,0
1.8041,1.0359,1.537,0
1.7575,1.0079,1.5105,0
1.7575,1.0079,1.5105,0
1.6833,1.0185,1.8598,-22
2.3169,0.9693,1.8157,0
2.2919,0.9495,1.7907,0
2.2604,0.9229,1.7656,0
2.1986,0.8719,1.7167,0
2.1986,0.8719,1.7167,0
2.1049,0.7984,1.6446,0
2.0732,0.7747,1.6207,0
2.6465,0.7323,1.5767,0
2.6162,0.712,1.555,0
2.5872,0.6935,1.5345,0
2.5291,0.6592,1.4943,0
2.5291,0.6592,1.4943,0
2.4933,1.1509,1.4357,0
2.4587,1.1209,1.4144,0
2.4286,1.0951,1.3965,0
2.3688,1.0448,1.3623,0
2.3405,1.0215,1.3468,0
2.8463,0.9719,1.689,0
2.8463,0.9719,1.689,0
2.7539,0.9031,1.6149,0
2.6925,0.8603,1.5667,0
2.6925,0.8603,1.5667,0
2.5993,0.8008,1.496,0
2.5648,0.7808,1.4706,0
2.5358,1.3227,1.4495,0
2.4749,1.27,1.4063,0
2.4449,1.2445,1.3857,0
2.4142,1.2185,1.3649,0
2.3552,1.1696,1.3263,0
2.2951,1.121,1.2889,0
2.2951,1.121,1.2889,0
2.8663,1.0751,1.2543,0
2.8033,1.0297,1.6167,0
2.7414,0.9872,1.5655,0
2.7105,0.9668,1.5404,0
2.6805,0.9478,1.5162,0
2.6177,0.9099,1.4663,0
2.5869,0.8925,1.4423,0
2.5261,1.399,1.3957,0
2.4648,1.3486,1.35,0
2.4648,1.3486,1.35,0
2.3737,1.2756,1.2849,0
2.3737,1.2756,1.2849,0
2.3091,1.2258,1.241,0
2.2477,1.1798,1.2013,0
2.2477,1.1798,1.2013,0
2.1553,1.1142,1.1458,0
2.1553,1.1142,1.1458,0
2.0961,1.0746,1.1132,0
2.0667,1.0557,1.4961,0
2.0099,1.021,1.4467,0
2.6126,1.004,1.4215,0
2.553,1.5043,1.3733,0
2.492,1.4559,1.3249,0
2.4602,1.431,1.3002,0
2.4306,1.4082,1.2775,0
2.3987,1.3839,1.2534,0
2.3384,1.339,1.209,0
2.2774,1.295,1.1657,0
2.2774,1.295,1.1657,0
2.187,1.2327,1.1049,0
2.1263,1.1932,1.0669,0
2.1263,1.1932,1.0669,0
2.0357,1.1381,1.0146,0
2.0357,1.1381,1.0146,0
1.9465,1.6157,1.3654,0
1.9465,1.6157,1.3654,0
1.8524,1.5406,1.2837,0
1.8235,1.518,1.2591,0
1.8235,1.518,1.2591,0
2.3677,1.449,1.1834,0
2.3677,1.449,1.1834,0
2.2752,1.3849,1.1129,0
2.2399,1.3614,1.087,0
2.1775,1.3212,1.0426,0
2.1775,1.3212,1.0426,0
2.1142,1.2824,0.9998,0
2.0532,1.2471,0.9608,0
1.989,1.7071,0.9228,0
1.989,1.7071,0.9228,0
1.8998,2.1622,1.2992,22
1.8686,2.1394,1.2713,22
1.8416,2.1132,1.2492,22
1.9997,2.0606,1.2082,22
1.9997,2.0606,1.2082,22
1.9155,1.5207,1.1545,0
1.8626,1.4818,1.1242,0
1.8626,1.4818,1.1242,0
1.785,1.4367,1.0776,0
1.785,1.4367,1.0776,0
1.7264,1.8168,1.0452,22
1.6984,1.7938,1.532,22
1.667,1.7681,1.5058,22
1.8904,1.7146,1.4694,0
1.8342,1.6601,1.4357,0
1.8071,1.6374,1.4178,0
1.7494,1.5894,1.3807,0
1.7199,1.5652,1.3624,0
1.6869,1.5382,1.3423,0
1.6273,1.4904,1.3077,0
1.5644,1.4408,1.2733,0
1.5354,1.4184,1.3116,0
1.5015,1.3925,1.2837,0
1.4417,1.3478,1.2352,0
1.4417,1.3478,1.2352,0
2.0438,1.2825,1.1638,0
1.9848,1.2436,1.121,0
1.955,1.2246,1.0999,0
1.8927,1.1866,1.0577,0
1.8927,1.1866,1.0577,0
1.8627,1.1692,1.0382,0
1.8009,1.5941,1,0
2.0582,1.5564,0.9666,0
1.9959,1.5201,1.0113,0
1.9648,1.5027,0.985,0
1.9346,1.4863,0.9598,0
1.8735,1.9123,0.9099,22
1.8425,1.8936,0.8851,22
1.8116,1.8684,0.8642,22
1.7546,1.8213,0.8285,22
1.7252,1.3553,0.8115,0
2.0364,1.3206,0.7858,0
2.0066,1.3042,1.3813,0
1.9461,1.6944,1.3359,0
1.9461,1.6944,1.3359,0
1.8528,1.6344,1.2686,0
1.8528,1.6344,1.2686,0
1.8206,1.6144,1.2462,0
1.7608,1.5785,1.2059,0
1.6951,1.541,1.1639,0
1.6648,1.9503,1.1453,22
1.6315,1.9281,1.1256,22
1.5719,1.8825,1.2596,22
1.902,1.832,1.2168,0
1.902,1.832,1.2168,0
1.8723,1.4074,1.197,0
1.8167,1.7684,1.1581,0
1.8167,1.7684,1.1581,0
1.7231,1.7047,1.0962,0
1.6926,1.6845,1.0772,0
1.6346,1.6473,1.0427,22
1.5754,1.6107,1.2252,22
1.9353,1.567,1.1861,0
1.9353,1.567,1.1861,0
1.8511,1.5099,1.1263,0
1.8511,1.5099,1.1263,0
1.7881,1.4723,1.0827,0
1.7297,1.8089,1.0443,22
1.7003,1.7874,1.0257,22
1.9084,1.7353,1.2684,0
1.9084,1.7353,1.2684,0
1.8169,1.6665,1.2042,0
1.8169,1.6665,1.2042,0
1.7811,1.6414,1.1791,0
1.7193,1.5992,1.1372,0
1.6535,1.5557,1.0947,0
1.6232,1.5363,1.076,0
1.5588,1.4961,1.038,0
1.5276,1.4773,1.0206,0
1.4635,1.44,0.987,0
1.4334,1.4231,1.2522,0
1.4334,1.4231,1.2522,0
1.3367,2.0688,1.1789,22
1.273,2.7341,1.1325,22
1.2452,2.0133,1.1165,22
1.2452,2.0133,1.1165,22
1.1672,1.9542,1.0756,22
1.5745,1.9353,1.1426,22
1.5502,1.9189,1.1215,22
1.5044,1.2134,1.0822,0
1.4838,1.2018,1.0649,0
1.4599,1.188,1.0452,0
1.4088,1.8237,1.0032,22
1.3515,1.7868,0.9571,22
1.3264,1.766,0.9403,22
1.2793,1.7262,0.9104,22
1.2793,1.7262,0.9104,22
1.2386,1.6908,0.887,22
1.1986,1.0252,0.8666,0
1.6731,0.9966,1.1613,0
1.6495,1.6,1.1392,0
1.6214,1.5788,1.113,0
1.5699,1.5404,1.0652,0
1.5699,1.5404,1.0652,0
1.4838,1.4781,0.9865,0
1.4838,1.4781,0.9865,0
1.3936,1.4158,0.9059,22
1.3936,1.4158,0.9059,22
1.8322,1.3469,0.8377,0
1.8076,1.3244,0.8212,0
1.7792,1.3047,0.8001,0
1.7186,1.2642,0.7572,0
1.6896,1.2453,0.7377,0
1.6896,1.2453,0.7377,0
2.1631,1.1727,0.6661,0
2.1631,1.1727,0.6661,0
2.1254,1.73,1.0367,0
2.0601,1.6824,0.9833,0
1.9925,1.6343,0.9297,0
1.962,1.6132,0.9062,0
1.8956,1.5682,0.8567,0
1.8956,1.5682,0.8567,0
1.8008,1.5068,0.7908,0
1.8008,1.5068,0.7908,0
1.7662,1.4853,0.7683,0
1.7048,1.4486,0.7311,0
1.6373,1.4102,0.6944,0
1.6062,1.9692,1.0692,22
1.5435,1.9235,1.0172,22
1.5169,1.898,0.9982,22
2.0926,1.8487,0.9661,0
2.0692,1.2838,0.9537,0
2.0067,1.7779,0.9139,0
